"Gene","Enrichment (WT)","FPM (WT)","ob/ob vs. Control","P (ob-ctrl)","STAT3KO vs. Control","P (ko-ctrl)","STAT3KO vs. ob/ob","P (ko-ob)","Group"
"Bst2",0.207246386178758,1.0043285816548,0.137826420307567,0.8972385602343,5.55201614582711,6.87356703289657e-68,-5.41418972551955,2.81343930633844e-47,"III"
"C1ra",-0.646869758893796,0.0698661203446578,-0.0668238649345194,0.986360290202809,3.23638569721386,0.00441240208457737,-3.30320956214838,0.0483642135841939,"III"
"Casp1",-0.885257361268207,0.586531475194932,-0.185073482118347,0.882586873672782,2.20355684726642,4.65769298933292e-08,-2.38863032938477,3.17969832133477e-06,"III"
"Cd274",1.45266561765456,10.1422405807116,-0.534259421681539,0.21745596621686,1.98894025796408,1.59333105289728e-19,-2.52319967964562,1.18489193839341e-23,"III"
"Cish",0.350949804785056,5.8614051169327,-0.328168569564455,0.607514202171788,0.794400732632952,0.0264376057406894,-1.12256930219741,0.00240527443607371,"III"
"Ddx58",0.190055376644303,5.03261712843834,0.147448303261711,0.789254016524767,1.50286359053772,3.71958690648059e-14,-1.35541528727601,7.69407076750822e-09,"III"
"Ddx60",0.287494882351514,0.699182075218549,-0.506241359482441,0.714675670861109,1.54657177823698,0.0179645794924639,-2.05281313771943,0.00649656278243967,"III"
"Dhx58",-0.410087085119097,1.27147791069022,-0.204896705124347,0.861886289771605,1.67691969332877,0.00017362910641513,-1.88181639845311,0.000421199584962887,"III"
"Eif2ak2",0.400544384445649,10.2796709094785,0.398675364319977,0.356205837825048,1.95275316048221,5.01761554373602e-21,-1.55407779616224,1.28359205508634e-10,"III"
"Fam159b",2.55910958402492,7.94832381154769,-0.3321972580052,0.551412904775527,0.650114302836204,0.0708126353779253,-0.982311560841404,0.00434035527640202,"III"
"Gm4841",-0.55582933903648,0.0444037812460703,-0.288552976977813,0.938580916162875,5.88057859740401,9.7757762546268e-10,-6.16913157438182,1.13706299908956e-05,"III"
"Gm8773",0.867247537048341,3.80391245947528,0.0622620730769726,0.932926442450574,0.84690565170362,0.00128338267008807,-0.784643578626647,0.0217587004740675,"III"
"H2-Aa",-1.01703163207879,0.845750655364981,-0.43861992717235,0.741658038723613,1.64092313664998,0.00614226317422396,-2.07954306382233,0.00279969146724644,"III"
"H2-D1",1.26157184371454,32.7847597604039,-0.380504567510881,0.454944548347418,1.35837504635145,4.95182712430575e-08,-1.73887961386233,2.22380145081e-10,"III"
"H2-M3",0.462642208888898,3.61605209358476,-0.273964425392062,0.679081145844384,0.727196515447921,0.0428260145653432,-1.00116094083998,0.00828826164916082,"III"
"H2-Q4",1.92515418499749,1.24500594025748,-0.0525928568509777,0.967829298278973,3.31954153813222,5.57043456212969e-18,-3.3721343949832,9.57288611972304e-14,"III"
"H2-Q7",1.21322041193892,0.602510345897344,-0.324313732432307,0.800948686005398,4.14159822920018,8.61982930273614e-26,-4.46591196163249,2.22250358636747e-19,"III"
"H2-T23",0.841977492908347,5.74120813028515,-0.117886808019882,0.871622832468043,1.91639414380806,8.28528448356465e-14,-2.03428095182794,6.37490607562358e-12,"III"
"Ifi35",0.958668106773424,2.49830418131029,0.0131676684351995,0.988782679004306,2.40511321908146,8.37174295942126e-25,-2.39194555064626,5.09925210675282e-18,"III"
"Ifi44",0.904809231337606,0.443871794011604,-0.546295454598189,0.726560978569621,3.93649001772951,1.52840378551531e-13,-4.4827854723277,3.12264818407441e-11,"III"
"Ifit1",-0.48549565531724,1.93430492649974,-0.14850437966509,0.850912103104684,5.02729230922474,7.87798554665841e-101,-5.17579668888983,6.7602871543587e-74,"III"
"Ifit2",-0.628201519469182,16.1931339248335,0.145486850740225,0.756563012808335,1.62697420905884,1.74644562034412e-20,-1.48148735831861,2.31144364944706e-13,"III"
"Ifit3",-0.943056758332245,2.96753292156731,0.121041632092336,0.8884711173391,2.72230192737886,7.29456425853795e-21,-2.60126029528652,1.16562829767181e-14,"III"
"Ifit3b",-0.675620275809469,2.06390889760886,0.179020807860181,0.849263878999504,1.82485197070154,4.17680462266374e-08,-1.64583116284136,4.45455498327109e-05,"III"
"Irf1",0.932859383645321,9.70885760656452,-0.421667545998861,0.288643729652891,1.48281249630011,4.41567043764195e-14,-1.90448004229897,2.47983036448732e-17,"III"
"Irf7",0.768811200490207,2.01490470679174,0.267535670993431,0.638520019577006,2.39921640766867,3.66984109633011e-30,-2.13168073667524,6.97946693861553e-18,"III"
"Irf8",-1.30046299721241,1.85849974709295,-0.171136798292287,0.871622832468043,2.02633933774068,1.3234662416099e-07,-2.19747613603297,1.29090119606158e-06,"III"
"Irgm1",0.21896351636393,14.3035640804246,0.0401127206145693,0.937769444963331,2.85757411670069,2.39774900852954e-67,-2.81746139608612,9.22550537486733e-51,"III"
"Isg15",-1.16645943694955,0.642963139143256,-0.276457249798931,0.818469254115189,4.87945435820593,6.71927088651257e-43,-5.15591160800486,2.07406053767911e-30,"III"
"Lgals3bp",1.40604971850638,20.7502894217582,-0.385916128174095,0.394884774008829,0.833278891220984,0.00119042380645245,-1.21919501939508,5.18645007784705e-06,"III"
"Nmi",-0.0524960251900486,2.90862710521502,-0.143921353749391,0.839864311941561,1.02698326765548,0.000124011099045814,-1.17090462140487,0.000233495558807488,"III"
"Oasl2",0.412743393069201,5.22413157638188,-0.15416272983291,0.784791711157448,4.49399661317334,8.76932289441199e-128,-4.64815934300625,3.76899712792351e-100,"III"
"Parp10",0.024768531132241,2.3742890363273,-0.231300636762714,0.716647075874162,2.8815302502754,5.11750124623966e-41,-3.11283088703811,1.47877142328052e-32,"III"
