"Gene","FPM (WT)","FPM (STAT3KO)","FPM (ob/ob)","Enrichment (WT)","P (WT)","Enrichment (STAT3KO)","P (STAT3KO)","Enrichment (ob/ob)","P (ob/ob)"
"Flt1",29.5263708526634,30.0945838284039,9.221147973909,2.59803968973771,0.000628375779423491,2.72427876652272,0.000365036129563958,0.995547936344756,0.485785845956101
"Hmx2",5.97328698636026,6.10575923355811,6.70110545804486,2.35257628154816,3.37839679418435e-17,2.23870723571384,2.21081351903207e-16,1.72332335550504,4.51902261027569e-06
"Lepr",10.587618644309,11.4435999627395,9.31020975000594,2.36580787386183,2.87808315370296e-17,2.31797598900859,4.18559613262814e-17,1.6051211933797,4.06498518298765e-05
"Foxd2",7.07771547139777,7.57244830226611,6.23558789112694,2.69644147507685,2.08950941974736e-32,2.1421863454425,1.1133833436749e-24,1.38265922272239,4.86836384288775e-06
"Gm1123",0.113823571586676,0.20512588270958,0.432407346944312,0.198558254217231,0.949707672400275,2.6032867405609,0.112392946864044,3.41003611461092,0.147670719450666
"Aknad1",0.71241806043492,0.942856637046999,0.809521300194418,1.66589792881251,0.0146780817049911,2.4962850933546,0.000219718462295578,2.04960977412215,0.0495051326280024
"Tac1",313.183961466845,270.373667002089,169.984278669617,2.23287937490814,8.87302821307534e-20,2.20479021719035,2.36846738931978e-19,1.75571327712459,1.21291712431904e-07
"Ghsr",11.1876787308016,14.1132150423831,18.6224789403108,1.96286938842308,3.42862695621707e-13,2.1838106641432,1.28365306345847e-16,2.03350588666855,5.57855283112381e-09
"Serpina3c",0.771436227726378,0.24397960718627,0.187705955918146,4.03926513548739,0.000132737241218878,1.7439811529396,0.119149492548745,0.388812630651756,0.924437978528348
"Slc10a4",38.7746022089379,31.4423579872447,29.6887793076038,2.25093127206215,4.83597568818595e-15,2.18576663712734,4.21780945981673e-14,1.730612825495,1.45681362075818e-05
"Tie1",5.03088193211977,4.17141027525968,1.32418225758041,2.84364923112287,0.00140454438877668,2.33395109275133,0.0110761936449901,0.935150019651944,0.625073939170238
"Atg7",245.823052540584,163.661088559889,72.4712928571784,2.8916276991362,5.00607892985833e-25,2.22291276655072,6.91552609711063e-15,0.996299474610921,0.0190525379660686
"Slc18a2",188.995863617813,144.900528854205,141.633060678709,2.31850837835612,1.0274758440484e-13,2.00726212001863,2.00223829845339e-10,1.76745713282724,4.130658005002e-05
"Chrnb3",23.9798377909818,17.3629665885708,16.128982606968,2.44913841675922,2.20436453186818e-12,2.04851716070132,7.62271329237366e-09,1.583542471476,0.00148204967963946
"Gm5868",1.27937720847035,1.3400813196798,2.13609207928827,2.19082715401808,6.34096140441784e-07,1.4693682999063,0.000249561832757379,2.39766254847901,4.39938968949936e-05
